id,title,type,genres,providers,vote_count,vote_average,weighted_score
1376434,프레데터: 킬러 오브 킬러스,movie,"애니메이션,액션,SF,스릴러",Disney Plus,963,7.866,6.757582609909445
65718,Au-delà des grilles,movie,"드라마,로맨스",기타,30,6.5,6.405380085846518
185,시계태엽 오렌지,movie,"SF,범죄",wavve,13459,8.181,7.85519259356222
187,씬 시티,movie,"범죄,스릴러",기타,8547,7.463,7.186447608392259
262333,Karpagam,movie,드라마,기타,0,0.0,6.404440961442163
196,빽 투 더 퓨쳐 3,movie,"모험,코미디,SF",기타,11152,7.49,7.258514755270349
197,브레이브하트,movie,"액션,드라마,역사,전쟁",Disney Plus,10705,7.9,7.570701597515596
205,호텔 르완다,movie,"드라마,역사,전쟁",기타,3026,7.715,7.060088822215898
207,죽은 시인의 사회,movie,드라마,"Disney Plus, Netflix",12051,8.3,7.919897254143343
1278164,블러드 브라더스: 용의 불씨,movie,"액션,범죄,드라마,스릴러",Netflix,12,7.5,6.408773232075095
218,터미네이터,movie,"액션,스릴러,SF",기타,13991,7.673,7.447630498545581
65758,Chicken Park,movie,"코미디,SF",기타,56,3.3,6.347970912120796
65760,내부고발자,movie,"드라마,스릴러,범죄","TVING, wavve",588,6.7,6.452573879702842
1081568,Amma Nagamma,movie,드라마,Sun Nxt,0,0.0,6.404440961442163
458987,벡스,movie,"드라마,음악,로맨스",기타,28,5.286,6.394175326183401
131309,Recruits,movie,코미디,기타,8,3.25,6.39611405334095
238,대부,movie,"드라마,범죄",Netflix,22085,8.7,8.423647152657168
240,대부 2,movie,"드라마,범죄",Netflix,13347,8.571,8.170951046455325
242,대부 3,movie,"범죄,드라마,스릴러",Watcha,6593,7.417,7.098708790928812
247,킬링,movie,"범죄,스릴러",Watcha,1642,7.649,6.8425419650248855
33016,악령의 리사,movie,"공포,스릴러",기타,197,5.5,6.349100276448964
33018,Schizo,movie,"드라마,공포,미스터리,스릴러",기타,34,5.6,6.395492786120226
252,초콜렛 천국,movie,"가족,판타지,코미디",기타,3803,7.5,7.014850452715525
254,킹콩,movie,"모험,드라마,액션","Watcha, wavve",8258,6.887,6.7576998785574425
131332,Iacob,movie,드라마,기타,5,6.8,6.405094216559348
98566,닌자터틀,movie,"SF,액션,모험,코미디",기타,7026,5.924,6.06851573851632
426253,연인들,movie,"코미디,드라마,로맨스",wavve,93,5.409,6.374727259614547
272,배트맨 비긴즈,movie,"드라마,범죄,액션","Watcha, wavve",21980,7.718,7.559201972997012
426257,지금부터 들려줄게 록샌의 이야기,movie,드라마,Netflix,122,6.0,6.388750000017517
131347,David Copperfield,movie,"드라마,TV 영화",기타,14,5.4,6.399810067198539
1081620,The Weapon,movie,액션,기타,41,4.9,6.384307106037043
277,언더월드,movie,"판타지,액션,스릴러",wavve,6408,6.839,6.699719556555795
278,쇼생크 탈출,movie,"드라마,범죄",wavve,29253,8.712,8.495897806703983
280,터미네이터 2: 심판의 날,movie,"액션,스릴러,SF",기타,13702,8.134,7.821420616938827
284,아파트 열쇠를 빌려드립니다,movie,"코미디,드라마,로맨스",기타,2506,8.2,7.218330725690967
285,캐리비안의 해적: 세상의 끝에서,movie,"모험,판타지,액션",Disney Plus,15039,7.265,7.120985862274388
296,터미네이터 3: 라이즈 오브 더 머신,movie,"액션,스릴러,SF","TVING, Watcha",6997,6.2,6.261673445053203
297,조 블랙의 사랑,movie,"판타지,드라마,로맨스","Watcha, wavve",5560,7.352,7.018290873401427
524586,The Rock And Roll Hall Of Fame - In Concert 2014-2017,movie,음악,기타,0,0.0,6.404440961442163
819504,시리어슬리 레드,movie,"로맨스,코미디,음악,드라마",기타,20,5.025,6.395373447069967
310,브루스 올마이티,movie,"판타지,코미디",Disney Plus,11164,6.722,6.654340804002022
1311031,극장판 귀멸의 칼날: 무한성편,movie,"애니메이션,액션,판타지,스릴러",기타,573,7.599,6.594807612096752
1016121,뷰티풀 디재스터,movie,"로맨스,드라마,코미디","TVING, Watcha",862,6.6,6.447835877582012
322,미스틱 리버,movie,"스릴러,범죄,드라마,미스터리",Watcha,7141,7.742,7.344217132714301
295237,The Assault,movie,"미스터리,범죄,드라마,TV 영화",기타,78,6.776,6.413788057167994
360776,くノ一忍法帖III 秘戯伝説の怪,movie,액션,기타,5,5.7,6.403277596133929
360780,くノ一忍法帖 自来也秘抄,movie,"액션, 판타지",기타,1,7.0,6.404637931622927
332,형사 가제트,movie,"액션,모험,코미디,가족",Disney Plus,1275,4.504,5.840623429368736
491854,6 솔져스: 라스트 미션,movie,"액션,드라마,SF","TVING, Watcha, wavve",48,6.2,6.401245114979185
335,옛날 옛적 서부에서,movie,"드라마,서부",기타,4681,8.28,7.544101880945933
